Country,Year,Max_Partners,GDP_per_unit_CO2,PPP_Conv_Rate,PPP_Share_GDP,Imports_PC,Exports_PC,Govt_Revenue,gdp_per_cap,agri_perc_gdp,agg.empl.agri.perc,rural.pop.perc,pop.tot,mobilesub_per100peeps,intl_tourist_arrival,total_life_exp,life_expectancy_fe,life_exp_male,trade_perGDP,ISO_A3,cam,mean_light,mean_light_diff
Chile,2005,171,4.73194,281.569,0.36,18.371,2.7760000000000002,4.979,11225.079949474699,4.13388036014556,13.1599998474121,13.217,16182721.0,65.31393577137,2027000.0,77.63,80.579,74.53399999999999,71.6167608730547,CHL,F162005,0.66731504484666,0.11239258786127482
Chile,2006,169,4.918641,306.607,0.364,11.765,5.04,7.63,11808.834770309299,3.8771101398905294,12.8489999771118,13.158,16354504.0,76.1307160400584,2253000.0,77.865,80.8,74.78,73.0986510802446,CHL,F162006,0.5627328506987104,-0.10458219414794967
Chile,2007,176,4.554715,314.284,0.36200000000000004,13.769,7.169,7.725,12256.4296859791,3.7105011001804398,12.3109998703003,13.1,16530195.0,84.42248866392679,2507000.0,78.09899999999999,81.021,75.025,76.4074154996552,CHL,F162007,0.6321732490622642,0.06944039836355387
Chile,2008,171,4.4703919999999995,307.816,0.364,11.575999999999999,-0.578,3.576,12553.7948363739,3.7107239449777203,11.7189998626709,13.040999999999999,16708258.0,88.5585618799997,2710000.0,78.33,81.242,75.267,80.7897734291478,CHL,F162008,0.7242269673452623,0.09205371828299802
Chile,2009,176,4.559451999999999,319.602,0.36,-16.682000000000002,-4.238,-4.44,12227.214530032901,3.74118159285523,11.1990003585815,12.982999999999999,16886186.0,97.4182269459782,2760000.0,78.558,81.458,75.507,66.3372029179199,CHL,F162009,0.6912926730853091,-0.0329342942599532
Chile,2010,184,4.516966,344.44,0.36200000000000004,25.601999999999997,2.351,-0.311,12808.034586422,3.61588964467582,10.604999542236301,12.925999999999998,17062536.0,116.34989077825199,2801000.0,78.779,81.661,75.745,69.0637159959816,CHL,F182010,0.7043504064878832,0.013057733402574101
Chile,2011,181,4.365858,348.017,0.369,15.418,5.4670000000000005,1.518,13455.8378125533,3.6712065939256697,10.2609996795654,12.868,17233576.0,129.487043199856,3137000.0,78.986,81.84100000000001,75.98100000000001,72.2056659465459,CHL,F182011,1.0115269577552966,0.3071765512674134
Chile,2012,180,4.483819,345.378,0.376,5.1080000000000005,0.316,0.7909999999999999,14035.679130826002,3.3047809761163096,9.98200035095215,12.811,17400347.0,137.589054976892,3554000.0,79.176,81.99,76.214,68.27184639993071,CHL,F182012,0.9000065139389246,-0.11152044381637194
Chile,2013,181,4.401561,346.215,0.379,2.137,3.366,-0.389,14461.174377578998,3.3818680506304104,9.47500038146973,12.754000000000001,17571507.0,134.657425797343,3576000.0,79.34899999999999,82.10600000000001,76.443,64.97347660553079,CHL,F182013,0.9823716527853422,0.08236513884641761
China,1994,201,1.047124,2.443,5.517,9.412,8.895,-1.334,1116.03253544563,19.4742827282163,54.2999992370605,69.976,1191835000.0,0.127477599,20034000.0,69.67,71.858,67.72399999999999,35.7698149885745,CHN,F121994,0.750425703449304,0.06866694109893912
China,1995,201,1.0413430000000001,2.717,5.907,9.412,8.895,-0.436,1224.8488213975,19.596519610246002,52.2000007629395,69.039,1204855000.0,0.29244418899999997,20034000.0,69.885,72.10300000000001,67.916,34.2740960269445,CHN,F121995,0.8934156990349261,0.1429899955856221
